filename,pages,parser_family,avg_chars_per_page,avg_lines_per_page,numbered_line_ratio,section_header_count,detected_sections,has_bibliography,probable_ocr_quality,notes
23 (1977) - McKay.pdf,16,enumerated,2662.44,61.38,0.1507,25,"['ANCIENT AUTHORS AFTER VERGIL', 'APPENDIX VERGILIANA', 'BIBLIOGRAPHY', 'COMPUTER STUDIES', 'ECLOGUES: GENERAL STUDIES', 'ECLOGUES: INDIVIDUAL POEMS', 'EDITIONS, TRANSLATIONS', 'GEORGICS: GENERAL STUDIES', 'GEORGICS: INDIVIDUAL BOOKS', 'INTERPRETATION AND TEXT CRITICISM', 'LEIPZIG', 'MANUSCRIPTS', 'RELIGION AND PHILOSOPHY', 'ROME AND AUGUSTUS', 'STYLE, LANGUAGE, METRE', 'THE AENEID: CHARACTERS', 'THE AENEID: GENERAL STUDIES', 'THE AENEID: GEOGRAPHY AND ARCHAEOLOGY', 'THE AENEID: INDIVIDUAL BOOKS', 'THE TROJAN LEGEND', 'THESAURUS LINGUAE LATINAE', 'VERGIL AND EARLIER WRITERS', 'VERGIL AND LATER AGES', 'VERGIL AND OTHER AUGUSTAN POETS', 'VERGILIUS']",True,excellent,[]
24 (1978) - McKay.pdf,16,enumerated,8176.12,165.5,0.1835,21,"['AENEID: GENERAL STUDIES', 'ANCIENT AUTHORS AFTER VERGIL', 'ANCIENT LIVES', 'APPENDIX VERGILIANA', 'COMPUTER STUDIES', 'ECLOGUES: GENERAL STUDIES', 'ECLOGUES: INDIVIDUAL POEMS', 'EDITIONS AND TRANSLATIONS', 'GEORGICS: GENERAL STUDIES', 'GEORGICS: INDIVIDUAL BOOKS', 'INTERPRETATION AND TEXT CRITICISM', 'RELIGION AND PHILOSOPHY', 'ROME AND AUGUSTUS', 'STYLE AND LANGUAGE', 'THE AENEID: CHARACTERS', 'THE AENEID: GEOGRAPHY, ART & ARCHAEOLOGY', 'THE AENEID: INDIVIDUAL BOOKS', 'THE TROJ AN LEGEND', 'VERGIL AND EARLIER WRITERS', 'VERGIL AND OTHER AUGUSTAN POETS', 'VERGILIUS']",True,excellent,[]
25 (1979) - McKay.pdf,16,enumerated,2738.69,62.5,0.161,23,"['AENEID: CHARACTERS', 'AENEID: GENERAL STUDIES', 'AENEID: GEOGRAPHY, ART, AND ARCHAEOLOGY', 'AENEID: INDIVIDUAL BOOKS', 'ANCIENT AUTHORS AFTER VERGIL', 'ANCIENT LIVES', 'APPENDIX VERGILIANA', 'BIBLIOGRAPHY', 'COMPUTER STUDIES', 'ECLOGUES: GENERAL STUDIES', 'ECLOGUES: INDIVIDUAL POEMS', 'GEORGICS: GENERAL STUDIES', 'GEORGICS: INDIVIDUAL BOOKS', 'RELIGION AND PHILOSOPHY', 'ROME AND AUGUSTUS', 'STYLE, LANGUAGE, AND METRE', 'TEXTS, EDITIONS AND TRANSLATIONS', 'THE TROJAN LEGEND', 'VERGIL AND EARLIER WRITERS', 'VERGIL AND LATER AGES', 'VERGIL AND OTHER AUGUSTAN POETS', 'VERGILIAN BIBLIOGRAPHY', 'VERGILIUS']",True,excellent,[]
26 (1980) - McKay.pdf,19,enumerated,5438.42,126.37,0.1658,24,"['AENEID: CHARACTERS', 'AENEID: GENERAL STUDIES', 'AENEID: GEOGRAPHY, ART, AND ARCHAEOLOGY', 'AENEID: INDIVIDUAL BOOKS', 'ANCIENT AND MEDIAEVAL COMMENTARIES', 'ANCIENT AUTHORS AFTER VERGIL', 'ANCIENT LIVES', 'APPENDIX VERGILIANA', 'BIBLIOGRAPHY', 'ECLOGUES: GENERAL STUDIES', 'ECLOGUES: INDIVIDUAL POEMS', 'GEORGICS: GENERAL STUDIES', 'GEORGICS: INDIVIDUAL BOOKS', 'INTERPRETATION AND TEXT CRITICISM', 'RELIGION AND PHILOSOPHY', 'ROME AND AUGUSTUS', 'STYLE, LANGUAGE, AND METRE', 'TEXTS, EDITIONS, AND TRANSLATIONS', 'TROJAN LEGEND', 'VERGIL AND EARLIER WRITERS', 'VERGIL AND LATER AGES', 'VERGIL AND OTHER AUGUSTAN POETS', 'VERGILIAN BIBLIOGRAPHY', 'VERGILIUS']",True,excellent,[]
27 (1981) - McKay.pdf,16,null,2597.81,62.0,0.1512,25,"['ANCIENT AUTHORS AFTER VERGIL', 'ANCIENT LIVES', 'APPENDIX VERGILIANA', 'BIBLIOGRAPHY', 'ECLOGUES: GENERAL STUDIES', 'ECLOGUES: INDIVIDUAL POEMS', 'EDITIONS AND TRANSLATIONS', 'GEORGICS: GENERAL STUDIES', 'GEORGICS: INDIVIDUAL BOOKS', 'INTERPRETATION AND TEXT CRITICISM', 'MANUSCRIPTS', 'RELIGION AND PHILOSOPHY', 'ROME AND AUGUSTUS', 'STYLE, LANGUAGE, METRE', 'THE AENEID: CHARACTERS', 'THE AENEID: GENERAL STUDIES', 'THE AENEID: GEOGRAPHY AND ARCHAEOLOGY', 'THE AENEID: INDIVIDUAL BOOKS', 'THE AENEID: THE LEGENDS', 'VERGIL AND EARLIER WRITERS', 'VERGIL AND LATER AGES', 'VERGIL AND OTHER AUGUSTAN POETS', 'VERGILIAN BIBLIOGRAPHY XIX', 'VERGILIUS', 'VII-VIII']",False,excellent,['No bibliography detected']
28 (1982) - McKay.pdf,17,enumerated,7190.82,145.41,0.2245,22,"['AENEID: CHARACTERS', 'AENEID: GENERAL STUDIES', 'AENEID: INDIVIDUAL BOOKS', 'ANCIENT AUTHORS AFTER VERGIL', 'ANCIENT LIVES', 'APPENDIX VERGILIANA', 'BIBLIOGRAPHY', 'ECLOGUES: GENERAL STUDIES', 'ECLOGUES: INDIVIDUAL POEMS', 'EDITIONS AND TRANSLATIONS', 'GEOGRAPHY, ART AND ARCHAEOLOGY', 'GEORGICS: GENERAL STUDIES', 'GEORGICS: INDIVIDUAL BOOKS', 'INTERPRETATION AND TEXT CRITICISM', 'MANUSCRIPTS', 'RELIGION AND PHILOSOPHY', 'STYLE, LANGUAGE, METRE', 'VERGIL AND EARLIER WRITERS', 'VERGIL AND LATER AGES', 'VERGIL AND OTHER AUGUSTAN POETS', 'VERGILIAN BIBLIOGRAPHY', 'VERGILIUS']",True,excellent,[]
29 (1983) - McKay.pdf,23,enumerated,7935.48,162.17,0.2164,28,"['AENEA', 'AENEID: CHARACTERS', 'AENEID: GENERAL STUDIES', 'AENEID: GEOGRAPHY & ARCHAEOLOGY', 'AENEID: INDIVIDUAL BOOKS', 'AENEID: THE LEGENDS', 'ANCIENT AUTHORS AFTER VERGIL', 'ANCIENT COMMENTARIES', 'ANCIENT LIVES', 'APPENDIX VERGILIANA', 'BIBLIOGRAPHY', 'ECLOGUES: GENERAL STUDIES', 'ECLOGUES: INDIVIDUAL POEMS', 'EDITIONS AND TRANSLATIONS', 'GEORGICS: GENERAL STUDIES', 'GEORGICS: INDIVIDUAL BOOKS', 'INTERPRETATION AND TEXT CRITICISM', 'M AI AM', 'MANUSCRIPTS', 'RELIGION AND PHILOSOPHY', 'ROME AND AUGUSTUS', 'STYLE, LANGUAGE, METRE', 'VERGIL AND EARLIER WRITERS', 'VERGIL AND LATER AGES', 'VERGIL AND OTHER AUGUSTAN POETS', 'VERGILIAN BIBLIOGRAPHY', 'VERGILIAN BIMILLENARY: PUBLICATIONS, EXHIBITIONS', 'VERGILIUS']",True,excellent,[]
30 (1984) - McKay.pdf,18,enumerated,2786.89,50.94,0.2007,25,"['AENEID: CHARACTERS', 'AENEID: GENERAL STUDIES', 'AENEID: GEOGRAPHY & ARCHAEOLOGY', 'AENEID: INDIVIDUAL BOOKS', 'AENEID: THE LEGENDS', 'ANCIENT AUTHORS AFTER VERGIL', 'APPENDIX VERGILIANA', 'BIBLIOGRAPHY', 'ECLOGUES: GENERAL STUDIES', 'ECLOGUES: INDIVIDUAL POEMS', 'EDITIONS AND TRANSLATIONS', 'GEORGICS: GENERAL STUDIES', 'GEORGICS: INDIVIDUAL BOOKS', 'INTERPRETATION AND TEXT CRITICISM', 'MANUSCRIPTS', 'RELIGION AND PHILOSOPHY', 'ROME AND AUGUSTUS', 'STYLE, LANGUAGE, METRE', 'VE RGILIUS', 'VERGIL AND EARLIER WRITERS', 'VERGIL AND LATER AGES', 'VERGIL AND OTHER AUGUSTAN POETS', 'VERGILIAN BIBLIOGRAPHY', 'VERGILIAN BIMILLENARY PUBLICATIONS', 'VERGILIUS']",True,excellent,[]
31 (1985) - McKay.pdf,20,enumerated,2528.0,50.85,0.2075,21,"['AENEID: CHARACTERS', 'AENEID: GENERAL STUDIES', 'AENEID: GEOGRAPHY AND ARCHAEOLOGY', 'AENEID: INDIVIDUAL BOOKS', 'ANCIENT AUTHORS AFTER VERGIL', 'APPENDIX VERGILIANA', 'BIBLIOGRAPHY', 'ECLOGUES: INDIVIDUAL POEMS', 'EDITIONS AND TRANSLATIONS', 'GEORGICS: GENERAL STUDIES', 'GEORGICS: INDIVIDUAL BOOKS', 'MANUSCRIPTS', 'RELIGION AND PHILOSOPHY', 'ROME AND AUGUSTUS', 'SANDALION', 'STYLE, LANGUAGE, METRE', 'VERGIL AND EARLIER WRITERS', 'VERGIL AND LATER AGES', 'VERGIL AND OTHER AUGUSTAN POETS', 'VERGILIAN BIMILLENARY PUBLICATIONS', 'VERGILIUS']",True,excellent,[]
32 (1986) - McKay.pdf,20,enumerated,2670.25,41.9,0.321,23,"['AENEI D: INDIVIDUAL BOOKS', 'AENEID : CHARACTERS', 'AENEID : GENERAL STUDIES', 'AENEID : THE LEGENDS', 'AENEID: GEOGRAPHY AND ARCHAEOLOGY', 'ANCIENT AUTHORS AFTER VERGIL', 'ANCIENT LIVES', 'APPENDIX VERGILI AN A', 'BIBLIOGRAPHY', 'BRINDISI', 'COMPUTER STUDIES', 'ECLOGUES : INDIVIDUAL POEMS', 'EDITIONS, TRANSLATIONS AND SCHOLIA', 'GEORG ICS: GENERAL STUDIES', 'GEORGICS : INDIVIDUAL POEMS', 'MANUSCRIPTS', 'RELIGION AND PHILOSOPHY', 'ROME AND AUGUSTUS', 'STYLE, LANGUAGE, METRE', 'VERGIL AND EARLIER WRITERS', 'VERGIL AND LATER AGES', 'VERGIL AND OTHER AUGUSTAN POETS', 'VERGILIAN BIMILLENARY PUBLICATIONS']",True,excellent,[]
